Date,Open,High,Low,Close,Volume,Adj Close
2016-09-02,30.84,30.940001,30.379999,30.620001,3839000,30.620001
2016-09-01,29.93,30.33,29.74,30.23,4320400,30.23
2016-08-31,30.57,30.59,29.860001,30.00,4053200,30.00
2016-08-30,31.959999,32.200001,31.41,31.49,4551700,31.21
2016-08-29,31.77,32.360001,31.629999,32.209999,3491100,31.923597
2016-08-26,32.669998,33.619999,31.969999,32.09,6501300,31.804665
2016-08-25,32.00,32.360001,31.85,32.349998,2920700,32.062352
2016-08-24,32.560001,32.799999,31.959999,31.98,2469300,31.695643
2016-08-23,32.540001,33.200001,32.50,32.689999,3917500,32.399329
2016-08-22,31.280001,31.690001,31.120001,31.65,2513300,31.368577
2016-08-19,31.83,32.040001,31.620001,31.940001,4829600,31.656
2016-08-18,32.48,32.66,32.209999,32.509998,2626800,32.220929
2016-08-17,31.639999,31.93,31.25,31.91,3589900,31.626266
2016-08-16,32.00,32.080002,31.469999,31.50,3165100,31.219911
2016-08-15,31.01,31.35,30.940001,31.200001,2395500,30.92258
2016-08-12,31.32,31.41,30.82,30.969999,2734500,30.694623
2016-08-11,31.18,31.719999,30.969999,31.549999,2669200,31.269466
2016-08-10,31.709999,31.709999,30.879999,30.90,2660600,30.625246
2016-08-09,31.35,31.540001,31.110001,31.24,2518900,30.962223
2016-08-08,31.370001,31.790001,31.360001,31.48,2724700,31.200089
2016-08-05,30.52,31.08,30.24,31.02,4539200,30.74418
2016-08-04,29.67,30.379999,29.52,30.23,4926400,29.961203
2016-08-03,29.219999,29.93,28.969999,29.879999,3787700,29.614315
2016-08-02,29.41,29.469999,28.77,29.209999,2668000,28.950272
2016-08-01,29.889999,29.93,29.190001,29.23,3053800,28.970095
2016-07-29,29.25,29.790001,29.07,29.690001,3864700,29.426006
2016-07-28,29.75,29.809999,29.360001,29.559999,2508900,29.297161
2016-07-27,29.809999,30.190001,29.379999,29.75,3666200,29.485472
2016-07-26,28.65,29.530001,28.65,29.459999,4453300,29.19805
2016-07-25,28.700001,28.700001,28.02,28.27,2282200,28.018632
2016-07-22,28.74,28.799999,28.290001,28.549999,3034100,28.296141
2016-07-21,28.860001,29.389999,28.780001,28.969999,4823900,28.712407
2016-07-20,28.16,28.540001,27.83,28.32,5868900,28.068187
2016-07-19,29.33,29.49,28.52,28.719999,5858200,28.46463
2016-07-18,30.209999,30.27,29.92,30.25,3912600,29.981026
2016-07-15,30.940001,31.059999,30.280001,30.50,3050900,30.228803
2016-07-14,31.27,31.379999,30.809999,30.950001,2429700,30.674803
2016-07-13,31.58,31.639999,30.59,30.91,5540300,30.635157
2016-07-12,30.459999,30.969999,30.459999,30.84,4622800,30.56578
2016-07-11,29.50,30.209999,29.50,29.85,4135100,29.584583
2016-07-08,28.700001,29.360001,28.65,29.34,5310400,29.079118
2016-07-07,28.870001,29.110001,27.51,27.780001,6042200,27.532989
2016-07-06,27.52,28.629999,27.450001,28.57,4712100,28.315964
2016-07-05,28.530001,28.60,27.719999,27.809999,6567500,27.562721
2016-07-01,28.25,28.700001,28.040001,28.620001,4673800,28.36552
2016-06-30,28.389999,28.57,28.059999,28.559999,7373600,28.306052
2016-06-29,27.879999,28.10,27.73,27.76,4961500,27.513167
2016-06-28,27.299999,27.60,26.889999,27.33,5798300,27.08699
2016-06-27,26.33,26.48,25.75,26.24,8093700,26.006682
2016-06-24,26.77,27.700001,26.74,27.23,12213100,26.987879
2016-06-23,28.049999,29.450001,28.049999,29.40,4178500,29.138584
2016-06-22,28.549999,28.58,28.030001,28.049999,5652700,27.800587
2016-06-21,28.290001,28.50,27.90,28.299999,4300100,28.048364
2016-06-20,28.290001,28.74,28.200001,28.370001,5568100,28.117743
2016-06-17,27.15,27.860001,27.10,27.709999,7197400,27.46361
2016-06-16,26.32,26.91,25.809999,26.870001,5389600,26.631081
2016-06-15,26.549999,27.440001,26.549999,26.92,4845700,26.680635
2016-06-14,26.459999,26.67,25.90,26.209999,6719000,25.976948
2016-06-13,26.559999,27.129999,26.530001,26.85,4392100,26.611258
2016-06-10,27.030001,27.389999,26.620001,26.73,6321600,26.492324
2016-06-09,28.559999,28.74,27.82,27.98,8154100,27.73121
2016-06-08,29.60,29.92,29.379999,29.65,4863400,29.386361
2016-06-07,28.860001,29.17,28.620001,28.76,4479900,28.504275
2016-06-06,28.530001,29.26,28.49,29.18,5606400,28.92054
2016-06-03,27.43,27.85,27.09,27.809999,4213200,27.562721
2016-06-02,26.24,26.82,26.219999,26.76,2241600,26.522058
2016-06-01,26.299999,26.73,26.01,26.639999,5565200,26.403124
2016-05-31,27.16,27.870001,26.91,26.969999,4414600,26.73019
2016-05-27,27.99,28.110001,27.290001,27.50,3954600,27.255478
2016-05-26,28.75,28.98,27.92,27.969999,5392800,27.721298
2016-05-25,27.57,28.370001,27.50,28.26,5099000,28.008721
2016-05-24,26.950001,27.34,26.809999,27.10,3929700,26.859035
2016-05-23,26.40,27.17,26.280001,26.950001,3650100,26.710369
2016-05-20,27.549999,27.809999,26.82,26.84,3704100,26.601347
2016-05-19,26.83,27.530001,26.459999,27.33,5220200,27.08699
2016-05-18,27.67,28.24,27.26,27.34,5536900,27.096901
2016-05-17,27.879999,28.74,27.540001,28.309999,4487100,28.058275
2016-05-16,27.43,28.10,27.370001,27.469999,3821900,27.225744
2016-05-13,26.610001,27.10,26.43,26.60,4998500,26.363481
2016-05-12,27.360001,27.620001,26.360001,26.719999,4444000,26.482413
2016-05-11,27.50,27.85,27.01,27.35,3133300,27.106812
2016-05-10,26.549999,27.23,26.459999,27.17,3737200,26.928413
2016-05-09,26.85,26.950001,25.99,26.26,5568900,26.026504
2016-05-06,27.26,28.48,27.24,27.93,3694500,27.681655
2016-05-05,28.120001,28.40,27.290001,27.66,5741400,27.414055
2016-05-04,28.02,28.65,27.530001,27.629999,6902300,27.384321
2016-05-03,30.030001,30.07,29.10,29.57,6617800,29.307072
2016-05-02,31.66,31.67,30.77,31.17,3998900,30.892846
2016-04-29,31.27,31.92,30.99,31.34,4001900,31.061334
2016-04-28,31.24,31.809999,30.950001,31.09,3709100,30.813557
2016-04-27,30.190001,30.950001,30.02,30.92,5729600,30.645069
2016-04-26,30.75,31.07,30.280001,31.049999,3689000,30.773912
2016-04-25,30.99,31.07,30.32,30.540001,4672300,30.268448
2016-04-22,31.940001,32.299999,31.459999,31.82,4932200,31.537066
2016-04-21,32.75,32.82,31.530001,31.75,8839800,31.467688
2016-04-20,31.860001,32.990002,31.75,32.529999,7197200,32.240752
2016-04-19,30.85,31.530001,30.629999,31.459999,5064400,31.180266
2016-04-18,28.83,30.00,28.74,29.90,4511900,29.634138
2016-04-15,28.91,29.219999,28.58,28.91,4590500,28.652941
2016-04-14,29.049999,29.15,28.49,28.790001,5109900,28.534009
2016-04-13,28.25,28.809999,28.129999,28.51,7264100,28.256498
2016-04-12,26.35,26.90,26.110001,26.709999,4235300,26.472502
2016-04-11,25.51,25.91,25.469999,25.610001,3086200,25.382284
2016-04-08,24.77,25.07,24.66,24.77,4839400,24.549753
2016-04-07,23.969999,24.299999,23.77,23.92,4211100,23.707311
2016-04-06,23.82,24.34,23.40,24.309999,5363000,24.093842
2016-04-05,23.82,24.17,23.67,24.07,3806500,23.855976
2016-04-04,25.58,25.709999,24.620001,24.67,3256300,24.450642
2016-04-01,24.99,25.66,24.90,25.65,2680400,25.421927
2016-03-31,26.200001,26.290001,25.780001,25.90,2307600,25.669705
2016-03-30,26.290001,26.790001,26.120001,26.299999,4735200,26.066147
2016-03-29,24.73,25.799999,24.459999,25.73,4140500,25.501216
2016-03-28,25.77,25.90,25.209999,25.690001,1719200,25.461573
2016-03-24,24.92,25.639999,24.84,25.639999,3795100,25.412016
2016-03-23,26.52,26.549999,25.469999,25.52,4280600,25.293084
2016-03-22,26.629999,26.879999,26.50,26.709999,3320700,26.472502
2016-03-21,27.32,27.709999,26.879999,27.08,3068800,26.839213
2016-03-18,28.09,28.40,27.219999,27.42,4458000,27.17619
2016-03-17,27.040001,27.41,26.58,27.290001,4731500,27.047346
2016-03-16,25.10,26.09,24.700001,26.00,4972200,25.768816
2016-03-15,25.23,25.24,24.82,25.01,5432800,24.787619
2016-03-14,27.030001,27.18,26.51,26.85,4190400,26.611258
2016-03-11,26.559999,27.23,26.50,27.219999,4382900,26.977967
2016-03-10,26.110001,26.67,25.92,26.540001,5791100,26.304015
2016-03-09,26.58,26.99,25.620001,26.959999,5658800,26.720279
2016-03-08,27.299999,27.370001,26.42,26.610001,7836900,26.056237
2016-03-07,28.09,29.40,28.09,29.17,9236200,28.562962
2016-03-04,26.709999,28.49,26.559999,27.68,9485700,27.103969
2016-03-03,25.57,25.93,25.25,25.85,4652900,25.312052
2016-03-02,24.059999,25.40,23.969999,25.40,7164300,24.871416
2016-03-01,23.68,23.700001,23.09,23.459999,4096200,22.971788
2016-02-29,22.969999,23.15,22.559999,22.610001,3173500,22.139478
2016-02-26,22.790001,23.110001,22.440001,22.559999,4469800,22.090518
2016-02-25,22.57,22.860001,22.059999,22.83,5330400,22.354899
2016-02-24,22.24,22.82,21.879999,22.799999,8219600,22.325523
2016-02-23,24.59,24.77,23.83,24.09,8280700,23.588678
2016-02-22,24.940001,25.540001,24.77,25.290001,5127500,24.763707
2016-02-19,23.549999,23.99,23.43,23.98,2424400,23.480967
2016-02-18,24.290001,24.35,23.83,23.99,2592700,23.490759
2016-02-17,23.469999,24.41,23.469999,24.120001,5436000,23.618055
2016-02-16,22.74,23.200001,22.33,23.16,4997300,22.678032
2016-02-12,22.16,22.99,22.110001,22.719999,3760500,22.247188
2016-02-11,21.139999,21.42,20.82,21.190001,4422600,20.749029
2016-02-10,21.48,21.99,21.33,21.65,5281100,21.199455
2016-02-09,21.559999,22.09,21.530001,21.790001,4512100,21.336543
2016-02-08,22.58,22.84,22.290001,22.709999,3660900,22.237396
2016-02-05,22.450001,23.09,22.27,22.58,4518800,22.110102
2016-02-04,22.450001,23.780001,22.370001,22.889999,6076300,22.41365
2016-02-03,20.780001,21.41,20.17,21.389999,4115600,20.944866
2016-02-02,20.42,20.48,20.120001,20.33,3806200,19.906925
2016-02-01,21.809999,21.82,21.290001,21.73,3316800,21.27779
2016-01-29,21.280001,22.00,21.26,21.91,3826800,21.454045
2016-01-28,22.48,22.51,21.620001,21.790001,3134600,21.336543
2016-01-27,21.16,22.01,21.049999,21.35,5497900,20.905699
2016-01-26,21.34,22.07,21.059999,22.01,4668800,21.551964
2016-01-25,21.24,21.35,20.73,20.75,3712300,20.318185
2016-01-22,21.809999,22.10,21.07,21.48,5162300,21.032993
2016-01-21,19.940001,21.23,19.73,21.00,9689800,20.562982
2016-01-20,18.969999,19.610001,18.459999,19.379999,8144600,18.976694
2016-01-19,20.52,20.59,19.809999,20.07,4112000,19.652336
2016-01-15,19.90,20.25,19.77,20.190001,5106300,19.769839
2016-01-14,21.120001,21.91,20.860001,21.68,6114300,21.228832
2016-01-13,21.129999,21.27,20.200001,20.379999,5547500,19.955884
2016-01-12,21.40,21.42,20.41,20.639999,6401100,20.210473
2016-01-11,22.139999,22.27,21.08,21.40,5897700,20.954658
2016-01-08,22.459999,22.559999,21.93,21.959999,7446600,21.503003
2016-01-07,22.51,22.959999,22.35,22.459999,4749900,21.992598
2016-01-06,23.709999,23.98,23.42,23.76,4968600,23.265546
2016-01-05,25.35,25.42,24.92,25.27,3010000,24.744123
2016-01-04,25.07,25.50,24.75,25.48,5041500,24.949751
2015-12-31,25.77,26.129999,25.719999,25.76,2420400,25.223925
2015-12-30,25.879999,26.110001,25.700001,26.00,4438800,25.45893
2015-12-29,26.07,26.370001,26.040001,26.309999,6323600,25.762479
2015-12-28,25.940001,26.00,25.60,25.82,3519100,25.282676
2015-12-24,26.030001,26.219999,25.879999,26.139999,1499200,25.596016
2015-12-23,24.540001,26.190001,24.540001,25.959999,5033400,25.419762
2015-12-22,24.24,24.610001,24.17,24.540001,3988800,24.029315
2015-12-21,24.540001,24.629999,24.030001,24.280001,5319100,23.774725
2015-12-18,23.620001,24.360001,23.620001,23.93,5483000,23.432008
2015-12-17,24.32,24.379999,23.60,23.620001,3869600,23.12846
2015-12-16,24.469999,24.639999,24.00,24.58,6291800,24.068481
2015-12-15,24.01,24.24,23.709999,23.809999,4099500,23.314505
2015-12-14,23.58,23.799999,23.209999,23.67,6590000,23.177419
2015-12-11,23.99,24.200001,23.73,23.809999,4993400,23.314505
2015-12-10,24.92,25.389999,24.83,25.129999,4993600,24.607035
2015-12-09,25.209999,25.709999,24.75,24.940001,6188800,24.42099
2015-12-08,24.10,24.709999,23.91,24.440001,7085300,23.931395
2015-12-07,25.860001,25.92,25.40,25.51,4307200,24.979128
2015-12-04,26.35,26.49,26.02,26.48,3569800,25.928941
2015-12-03,26.76,26.889999,26.110001,26.25,4905200,25.703728
2015-12-02,26.92,27.360001,26.83,26.889999,4864700,26.330409
2015-12-01,26.940001,27.33,26.889999,27.309999,4347400,26.741668
2015-11-30,25.99,26.77,25.91,26.68,5128300,26.12478
2015-11-27,26.50,27.040001,26.40,26.98,3947100,26.418536
2015-11-25,28.23,28.25,27.41,27.530001,5726200,26.957091
2015-11-24,28.370001,28.82,28.370001,28.780001,3004300,28.181078
2015-11-23,28.700001,28.82,28.27,28.43,4141200,27.838362
2015-11-20,29.42,29.559999,28.950001,29.10,5621800,28.494419
2015-11-19,28.969999,29.25,28.90,29.120001,4511500,28.514003
2015-11-18,28.469999,28.700001,28.18,28.60,2988000,28.004824
2015-11-17,28.549999,28.549999,27.969999,28.049999,5437300,27.466268
2015-11-16,28.450001,28.790001,28.059999,28.66,3012400,28.063575
2015-11-13,28.60,28.709999,28.16,28.41,3715600,27.818777
2015-11-12,28.10,28.610001,27.84,28.190001,6099100,27.603356
2015-11-11,29.879999,29.889999,28.879999,28.93,3234900,28.327956
2015-11-10,29.719999,29.950001,29.57,29.879999,3568200,29.258185
2015-11-09,30.290001,30.52,29.559999,29.940001,4239900,29.316938
2015-11-06,30.690001,31.030001,30.280001,30.75,8215700,30.110081
2015-11-05,32.849998,32.880001,32.209999,32.439999,3465200,31.76491
2015-11-04,34.23,34.34,33.279999,33.43,2929600,32.73431
2015-11-03,33.09,33.900002,32.919998,33.639999,2152800,32.939939
2015-11-02,32.560001,32.84,32.310001,32.75,1841900,32.068461
2015-10-30,33.099998,33.209999,32.759998,32.889999,1944400,32.205546
2015-10-29,32.810001,33.419998,32.68,32.720001,3244800,32.039086
2015-10-28,33.540001,34.66,33.540001,34.130001,3228700,33.419743
2015-10-27,34.439999,34.810001,34.25,34.369999,2861200,33.654747
2015-10-26,35.990002,35.990002,35.299999,35.32,1196900,34.584978
2015-10-23,35.959999,36.16,35.50,35.75,2144600,35.006029
2015-10-22,35.049999,35.68,35.029999,35.380001,2413500,34.64373
2015-10-21,35.25,35.310001,34.619999,34.700001,1692600,33.977881
2015-10-20,34.419998,35.189999,34.419998,34.939999,2421900,34.212884
2015-10-19,35.380001,35.50,35.080002,35.23,2162800,34.49685
2015-10-16,36.419998,36.50,35.889999,36.060001,2128400,35.30958
2015-10-15,36.400002,36.73,36.209999,36.650002,2202900,35.887302
2015-10-14,36.630001,36.82,36.27,36.669998,4221600,35.906882
2015-10-13,36.009998,36.77,35.849998,36.18,2837400,35.427081
2015-10-12,37.73,37.790001,36.970001,37.060001,2594700,36.288769
2015-10-09,37.889999,38.099998,37.549999,37.759998,3657100,36.974199
2015-10-08,36.32,37.509998,36.16,37.32,5721000,36.543357
2015-10-07,35.959999,36.43,35.18,35.669998,4801400,34.927692
